uuid,nombre,apellido,genero,email,telefono,ciudad,pais,codigo_postal,fecha_nacimiento,edad,foto_url,fecha_registro_api,segmento_edad,fecha_procesamiento
bd3307a2-8e83-4f55-8a2e-07a482f84fff,Jake,Smith,male,jake.smith@example.com,(861)-043-5734,Gisborne,New Zealand,38928,1994-10-28,31,https://randomuser.me/api/portraits/men/66.jpg,2007-06-09,Adulto,2026-06-22 21:40:40
f7df0c6b-78a3-41c6-8d96-378d86d2d0fd,Brooklyn,Hansen,female,brooklyn.hansen@example.com,(671) 568-0067,Seattle,United States,87431,1971-01-02,55,https://randomuser.me/api/portraits/women/35.jpg,2012-03-04,Maduro,2026-06-22 21:40:40
cf48c777-aa4a-48ad-a051-d8ccdfdaede1,Vitaliy,Kostogriz,male,vitaliy.kostogriz@example.com,(098) O18-6459,Sarni,Ukraine,76466,1969-08-14,56,https://randomuser.me/api/portraits/men/62.jpg,2018-08-24,Maduro,2026-06-22 21:40:40
08548588-97bb-4f0a-96fc-2e6b723d4ce4,Cäcilia,Lefevre,female,cacilia.lefevre@example.com,077 661 75 17,Corbeyrier,Switzerland,4822,1959-02-10,67,https://randomuser.me/api/portraits/women/74.jpg,2017-06-23,Senior,2026-06-22 21:40:40
36720dfc-927d-4c94-86a4-0ef7c9c155cd,Selma,Johansen,female,selma.johansen@example.com,31933401,Roedovre,Denmark,20467,1993-03-14,33,https://randomuser.me/api/portraits/women/0.jpg,2004-06-06,Adulto,2026-06-22 21:40:40
487ad438-03eb-46f0-9926-eeb2f600fdeb,Maitê,Melo,female,maite.melo@example.com,(09) 4400-9366,Maranguape,Brazil,45717,1982-09-28,43,https://randomuser.me/api/portraits/women/31.jpg,2008-09-12,Adulto,2026-06-22 21:40:40
8146f777-ed03-4bc3-b0e1-010474f1e3f9,علیرضا,سالاری,male,aalyrd.slry@example.com,044-06025039,بیرجند,Iran,28450,1946-03-08,80,https://randomuser.me/api/portraits/men/13.jpg,2016-11-26,Senior,2026-06-22 21:40:40
54aee8e8-531a-458c-b8ab-82ea21470d61,Daksh,Nair,male,daksh.nair@example.com,9827109290,Phusro,India,48440,1974-07-30,51,https://randomuser.me/api/portraits/men/91.jpg,2015-02-04,Maduro,2026-06-22 21:40:40
b09594b0-caf8-4977-b5db-848139ac7ff4,Dušan,Kovač,male,dusan.kovac@example.com,036-6658-732,Apatin,Serbia,17747,2001-01-10,25,https://randomuser.me/api/portraits/men/7.jpg,2022-01-22,Adulto,2026-06-22 21:40:40
bc8b6d6d-63cf-4d7b-8c28-aaed3e51f1f3,Marie,Davidson,female,marie.davidson@example.com,015242 37414,Sunderland,United Kingdom,XY9V 6XS,1966-01-06,60,https://randomuser.me/api/portraits/women/90.jpg,2006-04-10,Maduro,2026-06-22 21:40:40
26bcce4a-ea20-4758-b56d-4cf9faab3fe2,Nelli,Hietala,female,nelli.hietala@example.com,04-874-209,Kitee,Finland,36744,1996-02-29,30,https://randomuser.me/api/portraits/women/89.jpg,2014-03-01,Adulto,2026-06-22 21:40:40
5c1dfd3c-e9c8-453a-9ba7-759c279e11ac,Cathelijn,Van Sommeren,female,cathelijn.vansommeren@example.com,(0878) 076827,Zweeloo,Netherlands,3970 BS,1992-12-27,33,https://randomuser.me/api/portraits/women/25.jpg,2022-05-10,Adulto,2026-06-22 21:40:40
5d0999dc-ff3a-416b-b2c1-c90ae2ce6275,Živan,Bjelica,male,zivan.bjelica@example.com,017-5975-815,Vlasotince,Serbia,92348,1956-02-13,70,https://randomuser.me/api/portraits/men/65.jpg,2020-08-16,Senior,2026-06-22 21:40:40
c8b9c574-e1f4-4232-bdad-81e978ef09ce,Even,Friberg,male,even.friberg@example.com,58473374,Steinkjer,Norway,5960,1953-06-09,73,https://randomuser.me/api/portraits/men/60.jpg,2014-01-04,Senior,2026-06-22 21:40:40
62e283ac-1383-4230-84ff-cc3c04cc267a,Philip,Olsen,male,philip.olsen@example.com,97731674,Nr Åby,Denmark,76914,1991-10-22,34,https://randomuser.me/api/portraits/men/70.jpg,2014-12-25,Adulto,2026-06-22 21:40:40
b82b6648-903e-48e7-9d17-2a04ad4148aa,عباس,جعفری,male,aabs.jaafry@example.com,072-00398633,سبزوار,Iran,81494,1979-02-11,47,https://randomuser.me/api/portraits/men/30.jpg,2020-11-11,Maduro,2026-06-22 21:40:40
32eba4a3-8456-4d10-93f5-5602bdec1137,Beatrice,Novak,female,beatrice.novak@example.com,O87 N10-1246,St. George,Canada,R2W 9P3,1953-01-02,73,https://randomuser.me/api/portraits/women/61.jpg,2002-11-20,Senior,2026-06-22 21:40:40
c41ba937-da83-4675-811b-1fc3b6a550e7,Kasper,Christiansen,male,kasper.christiansen@example.com,81330491,Nimtofte,Denmark,64872,1952-06-10,74,https://randomuser.me/api/portraits/men/64.jpg,2011-09-05,Senior,2026-06-22 21:40:40
0e5aa474-c384-4555-930f-a03394e90a42,Hetal,Shetty,female,hetal.shetty@example.com,9556528880,Bettiah,India,46609,1970-03-18,56,https://randomuser.me/api/portraits/women/76.jpg,2021-01-25,Maduro,2026-06-22 21:40:40
473f2bb4-1707-4739-8b27-70914805fb4e,Virginia,Campos,female,virginia.campos@example.com,951-280-287,La Coruña,Spain,63842,1972-06-29,53,https://randomuser.me/api/portraits/women/44.jpg,2020-11-03,Maduro,2026-06-22 21:40:40
eb1d8049-04eb-456f-b66f-c0b26998aefd,Batur,Orbay,male,batur.orbay@example.com,(373)-719-6313,Aydın,Turkey,11025,1982-09-23,43,https://randomuser.me/api/portraits/men/48.jpg,2003-08-27,Adulto,2026-06-22 21:40:40
20e4f1c7-0700-4564-b8c7-df65b46c3d74,Danielle,Frazier,female,danielle.frazier@example.com,(914) 247-1030,Lafayette,United States,28786,1960-11-11,65,https://randomuser.me/api/portraits/women/3.jpg,2005-04-27,Senior,2026-06-22 21:40:40
c20d1ff2-3c77-4e36-aaff-1b9aa9db44fb,Vanesa,Caballero,female,vanesa.caballero@example.com,986-266-159,Córdoba,Spain,10654,1970-10-05,55,https://randomuser.me/api/portraits/women/60.jpg,2015-01-18,Maduro,2026-06-22 21:40:40
3ba17a29-1ee2-497b-a3f6-01db506f7834,Isabel,King,female,isabel.king@example.com,(455)-792-5956,Hastings,New Zealand,12527,1998-07-14,27,https://randomuser.me/api/portraits/women/50.jpg,2012-08-17,Adulto,2026-06-22 21:40:40
a4f63ea6-14f7-4871-ac77-230cc5ece6e4,Naja,Poulsen,female,naja.poulsen@example.com,89484804,Juelsminde,Denmark,79591,1970-04-14,56,https://randomuser.me/api/portraits/women/69.jpg,2012-03-22,Maduro,2026-06-22 21:40:40
5ad37e14-033b-4c84-8727-7da208274f10,Esat,Koçyiğit,male,esat.kocyigit@example.com,(342)-768-1201,Çankırı,Turkey,46740,1989-02-19,37,https://randomuser.me/api/portraits/men/1.jpg,2008-10-06,Adulto,2026-06-22 21:40:40
fd3364b0-46b9-43e6-8131-bf9603270852,Ethan,Taylor,male,ethan.taylor@example.com,B53 F92-3606,Keswick,Canada,Q1E 5D5,1949-04-16,77,https://randomuser.me/api/portraits/men/21.jpg,2003-02-09,Senior,2026-06-22 21:40:40
c21b799b-e2b1-4163-b4cc-fcfd368d07a4,William,Williamson,male,william.williamson@example.com,(393) 928-0391,Beaumont,United States,97409,1987-05-26,39,https://randomuser.me/api/portraits/men/52.jpg,2015-12-07,Adulto,2026-06-22 21:40:40
bcf19b3d-848a-4a89-bfee-ed9da2ae080d,Minttu,Koskinen,female,minttu.koskinen@example.com,06-056-791,Korsnäs,Finland,43300,1964-08-25,61,https://randomuser.me/api/portraits/women/45.jpg,2018-06-09,Maduro,2026-06-22 21:40:40
711c0a75-ca2b-43aa-9548-2513dcb5989e,Valerie,Buse,female,valerie.buse@example.com,0032-0869573,Riedlingen,Germany,37142,1953-09-07,72,https://randomuser.me/api/portraits/women/32.jpg,2015-09-05,Senior,2026-06-22 21:40:40
4db730fc-e664-4a0b-b64a-d2eb973f3627,Kerim,Sarıoğlu,male,kerim.sarioglu@example.com,(933)-276-8405,Eskişehir,Turkey,64945,1947-04-06,79,https://randomuser.me/api/portraits/men/74.jpg,2011-10-31,Senior,2026-06-22 21:40:40
bb53b0a7-df4a-4bc3-9cd7-3dce1cad3cf4,Gail,Beck,female,gail.beck@example.com,00-7428-6470,Australian Capital Territory,Australia,730,1955-06-04,71,https://randomuser.me/api/portraits/women/59.jpg,2015-08-12,Senior,2026-06-22 21:40:40
0c07d4bf-fc9b-436e-b11b-d1f0a27e7e18,Brankica,Topić,female,brankica.topic@example.com,026-1932-801,Niš,Serbia,98933,1957-03-13,69,https://randomuser.me/api/portraits/women/32.jpg,2003-05-04,Senior,2026-06-22 21:40:40
c78b0f8a-3ea4-4c9e-b9d1-8103b9642fdf,David,Harcourt,male,david.harcourt@example.com,R19 T73-3662,Summerside,Canada,C2M 9V6,1983-11-03,42,https://randomuser.me/api/portraits/men/11.jpg,2012-11-25,Adulto,2026-06-22 21:40:40
c325c643-d9cc-49b8-a69b-07cf59e2995c,Thea,Christiansen,female,thea.christiansen@example.com,19682756,Ølstykke,Denmark,82131,1958-07-09,67,https://randomuser.me/api/portraits/women/14.jpg,2021-11-18,Senior,2026-06-22 21:40:40
56b777d6-3fed-48a4-8ca0-938eb7f213e7,Quentin,Vincent,male,quentin.vincent@example.com,078 209 85 77,Lommiswil,Switzerland,3835,1980-08-19,45,https://randomuser.me/api/portraits/men/81.jpg,2013-09-30,Maduro,2026-06-22 21:40:40
6b3dabfc-b62a-4c78-98d9-c9ed24691812,Karla,Rasmussen,female,karla.rasmussen@example.com,56852595,Tisvilde,Denmark,52690,1980-10-28,45,https://randomuser.me/api/portraits/women/22.jpg,2012-06-03,Maduro,2026-06-22 21:40:40
8bc3524f-2e3f-411f-9e4c-3005fda65419,Nehrika,Saha,female,nehrika.saha@example.com,7976503362,Miryalaguda,India,38073,1987-11-30,38,https://randomuser.me/api/portraits/women/25.jpg,2021-05-31,Adulto,2026-06-22 21:40:40
0c2d1b3b-d49f-4d9d-a495-13a23d0520a8,Ellinor,Röhrs,female,ellinor.rohrs@example.com,0512-3909628,Bad Iburg,Germany,41572,1992-06-22,34,https://randomuser.me/api/portraits/women/33.jpg,2007-08-15,Adulto,2026-06-22 21:40:40
8301379a-856e-4f2f-9c2a-8085c24d3c5b,Kamile,Welde,female,kamile.welde@example.com,58525402,Blomvåg,Norway,4045,1974-05-23,52,https://randomuser.me/api/portraits/women/0.jpg,2010-05-19,Maduro,2026-06-22 21:40:40
b0b4df95-4072-4a9e-8396-ae461aa26e82,Celin,Sem,female,celin.sem@example.com,74520018,Korsvegen,Norway,3882,1977-02-20,49,https://randomuser.me/api/portraits/women/61.jpg,2009-10-31,Maduro,2026-06-22 21:40:40
e25517e1-9d7c-4139-bedf-48a4db8c42a6,Vitaliy,Zasyadko,male,vitaliy.zasyadko@example.com,(099) H79-2081,Ilovaysk,Ukraine,37901,1972-08-26,53,https://randomuser.me/api/portraits/men/34.jpg,2016-12-05,Maduro,2026-06-22 21:40:40
35d960c7-b57e-4ce8-8a83-cdd1f1306a98,Emma,Young,female,emma.young@example.com,U19 C76-7453,Hudson,Canada,Z6W 2L8,1966-01-13,60,https://randomuser.me/api/portraits/women/77.jpg,2021-07-26,Maduro,2026-06-22 21:40:40
11996165-9ff3-449f-9fc2-e6c9682fc16f,سورنا,كامياران,male,swrn.kmyrn@example.com,075-03888234,بجنورد,Iran,75381,1963-03-23,63,https://randomuser.me/api/portraits/men/66.jpg,2016-12-13,Maduro,2026-06-22 21:40:40
a27e7924-c04e-4c7a-ae95-e1fae4f46c3e,Noelia,Tejada,female,noelia.tejada@example.com,(662) 241 8220,Atenquique,Mexico,42315,1980-09-20,45,https://randomuser.me/api/portraits/women/63.jpg,2005-01-23,Maduro,2026-06-22 21:40:40
a5771d0d-c014-4342-b87d-a174b6c1fa62,Jimmie,Crawford,male,jimmie.crawford@example.com,061-238-1937,Dungarvan,Ireland,65276,1989-08-31,36,https://randomuser.me/api/portraits/men/98.jpg,2010-11-04,Adulto,2026-06-22 21:40:40
5f721bf1-7fb3-4484-a17f-34a0a8e02450,Shaun,Watkins,male,shaun.watkins@example.com,051-429-9634,Ashbourne,Ireland,47044,1975-02-15,51,https://randomuser.me/api/portraits/men/16.jpg,2020-02-05,Maduro,2026-06-22 21:40:40
20f2717c-1150-4be1-ab53-82b040eb3083,Ella,Peltonen,female,ella.peltonen@example.com,09-874-118,Lavia,Finland,37264,1960-05-14,66,https://randomuser.me/api/portraits/women/60.jpg,2002-06-09,Senior,2026-06-22 21:40:40
f1b4b235-044e-4834-ace7-7e7a9ea49a29,Lenni,Nurmi,male,lenni.nurmi@example.com,06-844-337,Pieksämäki,Finland,65085,1946-01-09,80,https://randomuser.me/api/portraits/men/60.jpg,2021-03-10,Senior,2026-06-22 21:40:40
b2bade4b-b9af-408f-bc86-6a3625c05959,Ángel,Gallego,male,angel.gallego@example.com,984-126-690,Ferrol,Spain,41273,1955-04-17,71,https://randomuser.me/api/portraits/men/69.jpg,2005-12-19,Senior,2026-06-22 21:40:40
cb60c4f8-8788-4bf3-8f99-50282721ec4c,Mustafa,Leclercq,male,mustafa.leclercq@example.com,079 119 62 39,Attiswil,Switzerland,1749,1961-01-01,65,https://randomuser.me/api/portraits/men/35.jpg,2012-04-04,Senior,2026-06-22 21:40:40
a43a5bca-4a47-44fd-b095-77bef7d7d06d,Madison,Morin,female,madison.morin@example.com,A85 L43-8926,Summerside,Canada,T1A 7N7,1976-05-05,50,https://randomuser.me/api/portraits/women/21.jpg,2017-05-01,Maduro,2026-06-22 21:40:40
449c1060-9d66-48e5-93b6-26519ffc39e0,Veer,Shenoy,male,veer.shenoy@example.com,8813257069,Hazaribagh,India,13882,1963-04-14,63,https://randomuser.me/api/portraits/men/62.jpg,2004-12-18,Maduro,2026-06-22 21:40:40
0473bae1-3024-4ae6-9857-b3215e63c713,Oktaviya,Macola,female,oktaviya.macola@example.com,(099) H34-4702,Talne,Ukraine,32360,1997-12-13,28,https://randomuser.me/api/portraits/women/14.jpg,2017-12-21,Adulto,2026-06-22 21:40:40
730d998d-9710-4308-93e3-6a0a8bb8bcc4,پرهام,موسوی,male,prhm.mwswy@example.com,081-62303882,کرمان,Iran,79366,1970-04-24,56,https://randomuser.me/api/portraits/men/39.jpg,2016-09-23,Maduro,2026-06-22 21:40:40
79b54911-ba12-4828-b3ff-2d31ffc9e869,Susan,Fuller,female,susan.fuller@example.com,015242 80553,Plymouth,United Kingdom,LN8 3BR,1954-06-04,72,https://randomuser.me/api/portraits/women/63.jpg,2010-09-02,Senior,2026-06-22 21:40:40
abc2ca82-e6f4-4c15-b2b3-f004e2ee582c,Lilja,Perala,female,lilja.perala@example.com,04-198-928,Hyrynsalmi,Finland,91338,1945-06-16,81,https://randomuser.me/api/portraits/women/95.jpg,2017-02-21,Senior,2026-06-22 21:40:40
7346895c-9f65-4857-a171-bb628a95c790,Dobrivoje,Ivanišević,male,dobrivoje.ivanisevic@example.com,033-1931-336,Vrnjačka Banja,Serbia,46475,1958-05-10,68,https://randomuser.me/api/portraits/men/78.jpg,2016-04-07,Senior,2026-06-22 21:40:40
bf2c72cd-ba1d-4dd3-8f18-9fbb34d52e22,Laura,Møller,female,laura.moller@example.com,57622116,Juelsminde,Denmark,44354,1959-02-08,67,https://randomuser.me/api/portraits/women/6.jpg,2013-02-10,Senior,2026-06-22 21:40:40
b8e72a51-530d-4af8-b5b9-ba4f1f8f6d09,Alfredo,Lozano,male,alfredo.lozano@example.com,935-454-615,Pontevedra,Spain,48055,1973-06-08,53,https://randomuser.me/api/portraits/men/60.jpg,2010-10-11,Maduro,2026-06-22 21:40:40
d7529372-ef13-4254-8707-be653bad7187,Sanchitha,Dawangave,female,sanchitha.dawangave@example.com,8622813844,Agartala,India,26382,1964-05-08,62,https://randomuser.me/api/portraits/women/82.jpg,2019-01-03,Maduro,2026-06-22 21:40:40
75011d50-d505-4b6b-9b27-4d030489e6a3,Florian,Oostvogels,male,florian.oostvogels@example.com,(0861) 552499,Heenvliet,Netherlands,9048 BL,1996-08-26,29,https://randomuser.me/api/portraits/men/43.jpg,2016-07-05,Adulto,2026-06-22 21:40:40
0c64da7c-04bb-4a64-9eee-9e6a2f00d82d,Cvitan,Marchenko,male,cvitan.marchenko@example.com,(066) K91-0391,Slavuta,Ukraine,47425,1954-11-08,71,https://randomuser.me/api/portraits/men/3.jpg,2016-10-04,Senior,2026-06-22 21:40:40
9283f153-a988-4b5f-ac30-58b2e64d0116,Mya,Roussel,female,mya.roussel@example.com,04-73-60-57-41,Nice,France,96422,1967-03-30,59,https://randomuser.me/api/portraits/women/5.jpg,2008-01-30,Maduro,2026-06-22 21:40:40
5efa7d11-dafe-4b12-b636-2d6c8642cbe6,Fiona,Otoole,female,fiona.otoole@example.com,031-915-9976,Monaghan,Ireland,26942,1946-01-15,80,https://randomuser.me/api/portraits/women/74.jpg,2008-08-26,Senior,2026-06-22 21:40:40
a7b81a2f-cc56-4aa3-8dcd-f5e898dec2f2,Gael,Figueroa,male,gael.figueroa@example.com,(673) 353 7123,Playa Azul,Mexico,51697,1966-01-09,60,https://randomuser.me/api/portraits/men/83.jpg,2017-06-09,Maduro,2026-06-22 21:40:40
e5e1a6e0-98d6-4e88-8555-d2c2659554ea,Visheslav,Levinskiy,male,visheslav.levinskiy@example.com,(066) L62-3305,Striy,Ukraine,46213,1952-12-30,73,https://randomuser.me/api/portraits/men/87.jpg,2007-10-03,Senior,2026-06-22 21:40:40
0bb7ba48-38f3-4c42-afd4-88ee01bda88c,Amit,Kulkarni,male,amit.kulkarni@example.com,8313648823,Shivpuri,India,70898,1950-09-24,75,https://randomuser.me/api/portraits/men/86.jpg,2011-01-15,Senior,2026-06-22 21:40:40
e52e1954-abdb-4ee3-a834-2c649b3f7100,Elliot,Mathieu,male,elliot.mathieu@example.com,01-80-39-04-66,Rennes,France,93248,1962-01-14,64,https://randomuser.me/api/portraits/men/28.jpg,2016-08-31,Maduro,2026-06-22 21:40:40
9f0af972-60f0-48ac-95aa-340461e98e08,Billy,Reyes,male,billy.reyes@example.com,01301 38765,Carlisle,United Kingdom,UY6W 1DG,1945-07-07,80,https://randomuser.me/api/portraits/men/65.jpg,2006-11-25,Senior,2026-06-22 21:40:40
4187c658-5342-4414-bfda-3cf1da53f6cb,Valdemira,Peixoto,female,valdemira.peixoto@example.com,(87) 7457-2362,Cachoeirinha,Brazil,68346,1961-08-11,64,https://randomuser.me/api/portraits/women/96.jpg,2004-04-14,Maduro,2026-06-22 21:40:40
2bec3c21-03f2-42fa-84c8-9b57d3f898c5,Noah,Bryant,male,noah.bryant@example.com,(252) 829-0185,Boise,United States,73552,1970-02-13,56,https://randomuser.me/api/portraits/men/57.jpg,2004-03-25,Maduro,2026-06-22 21:40:40
1cfcdf8d-ad25-49a0-b277-5aa9d5b30fd8,Eliza,Wilson,female,eliza.wilson@example.com,015395 51648,Swansea,United Kingdom,VV0 3AD,1951-11-10,74,https://randomuser.me/api/portraits/women/54.jpg,2005-07-31,Senior,2026-06-22 21:40:40
90afda50-5940-482c-9364-e7de183ea717,Ljuba,Stojković,male,ljuba.stojkovic@example.com,023-4981-229,Gadžin Han,Serbia,17333,1960-03-02,66,https://randomuser.me/api/portraits/men/84.jpg,2012-05-08,Senior,2026-06-22 21:40:40
802edf10-a838-4be8-b8e9-557513005bc5,Susanne,Bradley,female,susanne.bradley@example.com,061-381-5547,Kilkenny,Ireland,74451,1967-07-20,58,https://randomuser.me/api/portraits/women/91.jpg,2012-07-31,Maduro,2026-06-22 21:40:40
7c2a2c96-4620-4148-9d20-05cf42fb9904,Lilly,Jean,female,lilly.jean@example.com,078 782 98 38,Bottenwil,Switzerland,7217,1959-08-06,66,https://randomuser.me/api/portraits/women/5.jpg,2021-01-09,Senior,2026-06-22 21:40:40
406865b9-f8da-49e2-8799-02ab3b4b0be9,Kirilo,Rilskiy,male,kirilo.rilskiy@example.com,(099) O83-4660,Volnovaha,Ukraine,89051,1991-02-18,35,https://randomuser.me/api/portraits/men/82.jpg,2009-12-29,Adulto,2026-06-22 21:40:40
547d8ced-4357-44d4-9923-5f0ea3d8f2f0,Isabelle,Zitzmann,female,isabelle.zitzmann@example.com,0885-7540392,Werther (Westf.),Germany,99341,1967-01-31,59,https://randomuser.me/api/portraits/women/53.jpg,2015-11-24,Maduro,2026-06-22 21:40:40
42cfbb7f-3644-40d3-aea7-fbb98c5d8606,Mandy,Phillips,female,mandy.phillips@example.com,017683 71716,Swansea,United Kingdom,X74 4LZ,1984-07-31,41,https://randomuser.me/api/portraits/women/49.jpg,2012-10-14,Adulto,2026-06-22 21:40:40
39714a4c-849a-45c6-8e2b-99fc6f2e113e,Clémence,Sanchez,female,clemence.sanchez@example.com,03-99-16-01-93,Reims,France,22846,1999-04-18,27,https://randomuser.me/api/portraits/women/91.jpg,2012-12-22,Adulto,2026-06-22 21:40:40
8111496a-c783-4102-a7d7-ee6a84c6e225,Svenja,Schober,female,svenja.schober@example.com,0803-1221806,Hohen Neuendorf,Germany,77590,1973-06-03,53,https://randomuser.me/api/portraits/women/93.jpg,2012-09-22,Maduro,2026-06-22 21:40:40
4564ad89-ef8d-420d-b7b5-e4cf40d2188a,Shubha,Bhat,female,shubha.bhat@example.com,8598896253,Ahmednagar,India,98215,1970-06-09,56,https://randomuser.me/api/portraits/women/42.jpg,2016-09-19,Maduro,2026-06-22 21:40:40
941c6fe7-8e76-4d57-bed7-322f776fcc1f,Emilia,Koski,female,emilia.koski@example.com,09-666-941,Korsholm,Finland,80196,1989-11-17,36,https://randomuser.me/api/portraits/women/1.jpg,2007-10-06,Adulto,2026-06-22 21:40:40
9c684b49-c688-4be5-b4e6-efe953ad1702,Stanislaus,Ehrmann,male,stanislaus.ehrmann@example.com,0687-9728409,Beerfelden,Germany,70536,1984-04-30,42,https://randomuser.me/api/portraits/men/51.jpg,2017-11-01,Adulto,2026-06-22 21:40:40
dd75b212-d132-4a06-9c73-da4088e2d823,Bernard,Barnes,male,bernard.barnes@example.com,01292 274931,Birmingham,United Kingdom,W7A 9JF,1945-03-09,81,https://randomuser.me/api/portraits/men/65.jpg,2016-08-05,Senior,2026-06-22 21:40:40
bc23d5e3-d634-485a-86d3-45e27093e8bb,Necati,Köybaşı,male,necati.koybasi@example.com,(898)-007-0561,Bilecik,Turkey,50525,1953-03-07,73,https://randomuser.me/api/portraits/men/11.jpg,2009-05-19,Senior,2026-06-22 21:40:40
c8df74c3-fb5b-47d1-984d-7e265cf1533a,Thorsten,Preuss,male,thorsten.preuss@example.com,0557-6264163,Neubulach,Germany,14338,1973-11-25,52,https://randomuser.me/api/portraits/men/52.jpg,2015-02-26,Maduro,2026-06-22 21:40:40
b9b9bc6d-df9d-437d-9078-f1a34be55149,Víctor,Navarro,male,victor.navarro@example.com,982-355-605,Albacete,Spain,59369,1947-03-14,79,https://randomuser.me/api/portraits/men/35.jpg,2019-11-24,Senior,2026-06-22 21:40:40
3c065bab-815d-4cd4-96de-11f119aa9cda,Osman,Lambert,male,osman.lambert@example.com,077 835 69 66,Gilly,Switzerland,1718,1999-07-24,26,https://randomuser.me/api/portraits/men/50.jpg,2021-01-24,Adulto,2026-06-22 21:40:40
80f5ae74-54e8-4f48-9a2a-b3472d3300b2,Idhant,Andrade,male,idhant.andrade@example.com,8020498133,Sri Ganganagar,India,70899,1976-07-04,49,https://randomuser.me/api/portraits/men/30.jpg,2016-01-19,Maduro,2026-06-22 21:40:40
84e476f4-9e65-410b-8282-aa9529030416,سارینا,محمدخان,female,sryn.mhmdkhn@example.com,051-44086432,ساری,Iran,58198,1949-09-29,76,https://randomuser.me/api/portraits/women/33.jpg,2007-04-25,Senior,2026-06-22 21:40:40
ab77c6fd-35d1-4f5b-9add-8f26f5696d83,Batur,Erbay,male,batur.erbay@example.com,(947)-711-9318,Amasya,Turkey,59087,1968-12-08,57,https://randomuser.me/api/portraits/men/2.jpg,2013-12-30,Maduro,2026-06-22 21:40:40
f5b066b5-8d15-4e09-8f98-e2963ee9577f,Sidnei,Melo,male,sidnei.melo@example.com,(65) 0990-3256,Araguari,Brazil,76696,1985-04-16,41,https://randomuser.me/api/portraits/men/45.jpg,2021-02-16,Adulto,2026-06-22 21:40:40
9555a182-1458-42b9-8276-34521c18ce27,Christina,Carpenter,female,christina.carpenter@example.com,07-4260-7315,Orange,Australia,6657,1968-01-22,58,https://randomuser.me/api/portraits/women/88.jpg,2013-07-01,Maduro,2026-06-22 21:40:40
40aeec61-2ce4-4eaf-9c5a-de548a902a19,Rose,Harris,female,rose.harris@example.com,(970)-409-4735,Greymouth,New Zealand,34403,1957-12-21,68,https://randomuser.me/api/portraits/women/5.jpg,2013-06-12,Senior,2026-06-22 21:40:40
0fbac1ab-2c0f-498d-a745-c7b030889e54,Valentín,Rodríguez,male,valentin.rodriguez@example.com,965-116-538,Mérida,Spain,84623,1965-06-01,61,https://randomuser.me/api/portraits/men/48.jpg,2020-07-20,Maduro,2026-06-22 21:40:40
